SAMPLE	5UPKIR	HLA-E	HLA-G	KIR2DL1	KIR2DL2	KIR2DL3	KIR2DL4	KIR2DL5AB	KIR2DP1	KIR2DS1	KIR2DS2	KIR2DS3	KIR2DS4	KIR2DS5	KIR3DL1	KIR3DL2	KIR3DL3	KIR3DP1	KIR3DS1	LILRB1	LILRB2	LILRB3	LILRB4	LILRB5
651923072	0.70467	0.903308	0.721545	1.00911	0.406197	0.492702	1.48634	0.50362	0.822133	0.0131382	0.328508	0	0.501821	0.244315	0.796293	0.514092	1	1.34608	0.523319	0.552589	0.437828	0.188509	0.489088	0.423067
653000468	0.939451	1.04924	1.13364	0.845672	0	1.09612	1.11328	0	0.900908	0	0	0	0.998926	0	1.1753	1.08291	1	1.09146	0	0.509304	0.485985	0.14553	0.636117	0.472454
654000467	1.06246	1.04651	0.880565	1.05071	0.424737	0.445363	0.99026	0.922703	0.910135	0.556651	0.396496	0.760049	0.484019	0	0.681025	0.915313	1	1.00058	0.435919	0.429326	0.399122	0.292214	0.468555	0.404795
65414101	1.16572	1.1861	1.03076	1.09881	0	1.03382	1.01842	0	0.987543	0	0	0	1.09089	0	1.08351	0.99853	1	0.917018	0	0.506976	0.522733	0.444289	0.535197	0.519879
656901101	0.840774	0.786058	0.772331	0.405409	0.428647	0.457559	0.375917	0.433953	0.438509	0.486758	0	0	0.423035	0.204041	0.467334	0.87462	1	0.479997	0	0.460275	0.400926	0.496787	0.465915	0.398249
658402011	0.85335	0.929307	0.954101	0.488969	0.413301	0.436029	0.827039	0	0.409739	0	0.43497	0	0.859301	0	0.989546	0.898548	1	0.900828	0	0.529141	0.520674	0.251536	0.473052	0.371384
659404021	0.778046	0.80628	0.791162	0.98403	0.458406	0.441579	0.755027	0.309341	0.810753	0	0.457519	0.268345	0.915424	0	0.761827	0.76514	1	0.870385	0	0.433874	0.524645	0.0104386	0.370513	0.430831
660407051	0.995239	0.918487	0.936531	1.13004	0	1.06764	0.924909	0.454603	0.932952	0.542762	0	0	0.507735	0.241836	0.680974	0.998911	1	0.947194	0.389705	0.543116	0.535187	0.271581	0.553484	0.472759
661407041	1.02645	0.952817	1.00736	1.18916	0	1.02557	1.22676	0	1.08533	0	0	0	1.17893	0	1.07987	1.0641	1	1.017	0	0.509308	0.51989	0.203269	0.524718	0.386596
662000476	1.08733	0.993459	1.08305	1.03297	0.436691	0.482077	0.91672	0.528005	0.927026	0	0.470254	0.47596	0.928054	0	1.05756	1.02617	1	0.933785	0	0.467742	0.46805	0.18118	0.454468	0.449824
663921051	1.11213	0.938095	0.940857	1.00356	0.420929	0.481927	0.882306	0.409664	1.00668	0	0.413232	0.452411	0.907638	0	1.16679	0.932405	1	1.04189	0	0.567267	0.688567	0.333492	0.566184	0.682069
