Sample	Gene	Ratio	Heterozygosis	Order
1281608201	HLA-G	0.828440	heterozygosis: unknown	248
210800128	HLA-G	0.828443	heterozygosis: unknown	249
358106042	HLA-G	0.829015	heterozygosis: yes (1-2)	250
1161560701	HLA-G	0.829169	heterozygosis: yes (1-2)	251
264812071	HLA-G	0.829765	heterozygosis: yes (1-2)	252
531900151	HLA-G	0.830091	heterozygosis: unknown	253
1336507301	HLA-G	0.830417	heterozygosis: unknown	254
193200178	HLA-G	0.830435	heterozygosis: yes (1-2)	255
620523031	HLA-G	0.830499	heterozygosis: unknown	256
210800010	HLA-G	0.830631	heterozygosis: yes (1-2)	257
1071310701	HLA-G	0.830725	heterozygosis: yes (1-2)	258
210800064	HLA-G	0.831143	heterozygosis: yes (1-2)	259
529900111	HLA-G	0.831168	heterozygosis: yes (1-2)	260
210800125	HLA-G	0.831337	heterozygosis: unknown	261
1329603702	HLA-G	0.831446	heterozygosis: yes (1-2)	262
1077418301	HLA-G	0.831871	heterozygosis: unknown	263
535200028	HLA-G	0.832023	heterozygosis: unknown	264
210800122	HLA-G	0.832811	heterozygosis: yes (1-2)	265
386832101	HLA-G	0.833251	heterozygosis: yes (1-2)	266
1154200401	HLA-G	0.834417	heterozygosis: unknown	267
1269611501	HLA-G	0.834646	heterozygosis: yes (1-2)	268
1118225101	HLA-G	0.835208	heterozygosis: yes (1-2)	269
1145306902	HLA-G	0.835605	heterozygosis: yes (1-2)	270
580000088	HLA-G	0.836153	heterozygosis: unknown	271
174003031	HLA-G	0.836228	heterozygosis: unknown	272
323708051	HLA-G	0.836918	heterozygosis: yes (1-2)	273
1223818501	HLA-G	0.836918	heterozygosis: unknown	274
1190114802	HLA-G	0.837087	heterozygosis: yes (1-2)	275
808311032	HLA-G	0.837407	heterozygosis: unknown	276
664934021	HLA-G	0.838086	heterozygosis: yes (1-2)	277
152206101	HLA-G	0.838204	heterozygosis: unknown	278
1042404301	HLA-G	0.838405	heterozygosis: yes (1-2)	279
375100081	HLA-G	0.838658	heterozygosis: yes (1-2)	280
543236031	HLA-G	0.838692	heterozygosis: unknown	281
104116082	HLA-G	0.838876	heterozygosis: yes (1-2)	282
1117525001	HLA-G	0.839318	heterozygosis: yes (1-2)	283
1070309701	HLA-G	0.839671	heterozygosis: unknown	284
1113557401	HLA-G	0.840973	heterozygosis: unknown	285
883701052	HLA-G	0.841029	heterozygosis: unknown	286
624500287	HLA-G	0.841323	heterozygosis: unknown	287
494918051	HLA-G	0.841336	heterozygosis: yes (1-2)	288
50103042	HLA-G	0.841546	heterozygosis: unknown	289
21309053	HLA-G	0.842111	heterozygosis: yes (1-2)	290
625528081	HLA-G	0.842582	heterozygosis: yes (1-2)	291
1043306901	HLA-G	0.843122	heterozygosis: unknown	292
34930051	HLA-G	0.843312	heterozygosis: unknown	293
216211041	HLA-G	0.843545	heterozygosis: unknown	294
1185611601	HLA-G	0.843584	heterozygosis: unknown	295
1002209901	HLA-G	0.843637	heterozygosis: yes (1-2)	296
1044307701	HLA-G	0.843641	heterozygosis: unknown	297
1287202101	HLA-G	0.844062	heterozygosis: unknown	298
823810121	HLA-G	0.844405	heterozygosis: unknown	299
1230536501	HLA-G	0.844847	heterozygosis: unknown	300
477714051	HLA-G	0.845161	heterozygosis: yes (1-2)	301
812023062	HLA-G	0.845444	heterozygosis: unknown	302
210800111	HLA-G	0.845743	heterozygosis: unknown	303
616501091	HLA-G	0.846280	heterozygosis: unknown	304
210800108	HLA-G	0.846832	heterozygosis: yes (1-2)	305
449720041	HLA-G	0.847033	heterozygosis: yes (1-2)	306
1055016301	HLA-G	0.847815	heterozygosis: unknown	307
181806072	HLA-G	0.847842	heterozygosis: yes (1-2)	308
210800018	HLA-G	0.847878	heterozygosis: yes (1-2)	309
188711071	HLA-G	0.847975	heterozygosis: unknown	310
439833011	HLA-G	0.848606	heterozygosis: unknown	311
527900101	HLA-G	0.848790	heterozygosis: yes (1-2)	312
824810122	HLA-G	0.850184	heterozygosis: unknown	313
859630011	HLA-G	0.850578	heterozygosis: yes (1-2)	314
1261523701	HLA-G	0.850676	heterozygosis: unknown	315
890110091	HLA-G	0.850727	heterozygosis: unknown	316
688929011	HLA-G	0.851372	heterozygosis: unknown	317
1023311101	HLA-G	0.851460	heterozygosis: yes (1-2)	318
617502082	HLA-G	0.852127	heterozygosis: unknown	319
261805051	HLA-G	0.852370	heterozygosis: unknown	320
15843041	HLA-G	0.852506	heterozygosis: yes (1-2)	321
379007151	HLA-G	0.852621	heterozygosis: yes (1-2)	322
681000475	HLA-G	0.852627	heterozygosis: unknown	323
628000409	HLA-G	0.852657	heterozygosis: unknown	324
674703041	HLA-G	0.852778	heterozygosis: unknown	325
1215630501	HLA-G	0.852783	heterozygosis: unknown	326
210800137	HLA-G	0.853015	heterozygosis: unknown	327
1267601501	HLA-G	0.853984	heterozygosis: unknown	328
205300083	HLA-G	0.854276	heterozygosis: unknown	329
262805052	HLA-G	0.855326	heterozygosis: yes (1-2)	330
252900011	HLA-G	0.855604	heterozygosis: unknown	331
1000206901	HLA-G	0.855613	heterozygosis: yes (1-2)	332
107301101	HLA-G	0.855801	heterozygosis: unknown	333
26312102	HLA-G	0.856053	heterozygosis: unknown	334
38046011	HLA-G	0.856278	heterozygosis: yes (1-2)	335
194211031	HLA-G	0.856415	heterozygosis: yes (1-2)	336
210800117	HLA-G	0.856659	heterozygosis: yes (1-2)	337
860809022	HLA-G	0.856707	heterozygosis: unknown	338
1127231901	HLA-G	0.856899	heterozygosis: unknown	339
33838042	HLA-G	0.857026	heterozygosis: unknown	340
